Sąskaitos Nr.,,Data,Gavėjas,Paaiškinimai,Suma,Valiuta,D/K,Įrašo Nr.,Kodas,Įmokos kodas,Dok. Nr.,Kliento kodas mokėtojo IS,Kliento kodas,Pradinis mokėtojas,Galutinis gavėjas
LT587300010127725993,20,2025-09-15,JONAS JONAITIS,III pakopos pensijų fondo įmoka,-99.67,EUR,D,2025091504000641,M,,R@,,,,
LT587300010127725993,20,2025-09-15,TOMAS TOMULIS,Bilietas (išmoka),-10.60,EUR,D,2025091504000641,M,,R@,,,,
LT587300010127725993,20,2025-09-15,MONIKA MONKEVIČIENĖ,Gyvybės ir turto draudimo įmoka,-81.84,EUR,D,2025091504000641,TT,,R@,,,,
LT587300010127725993,20,2025-09-17,"ŽALIOJI VAISTINĖ, 5 skyrius VILNIUS",Sunkapojus (papildoma įmoka),-29.70,EUR,D,2025091702576876,MK,,364,,,,
LT587300010127725993,20,2025-09-17,"FITNESO CENTRAS, MB, „Sveikata“ VILNIUS",Sąskaitos apmokėjimas už vandenį ir kanalizaciją,-15.77,EUR,D,2025091702598670,MK,,365,,,,
LT587300010127725993,20,2025-09-17,INTERNETO PARDUOTUVĖ (ITP) / LUX,Atsiskaitymas už šilumos energiją,-91.16,EUR,D,2025091702608962,MK,,366,,,,
LT587300010127725993,20,2025-09-17,PREKYBOS CENTRAS „LOBIS“,Sąskaita (mokestis),-28.26,EUR,D,2025091702641333,MK,,367,,,,
LT587300010127725993,20,2025-09-17,UAB „RENOVACIJOS TAŠKAS“ DIGITAL,Elektros paslaugos,-10.73,EUR,D,2025091702651288,MK,,368,,,,
LT587300010127725993,20,2025-09-17,UAB „RENOVACIJOS TAŠKAS“,Atsiskaitymas už vandens tiekimą,-4.95,EUR,D,2025091702668262,MK,,369,,,,
LT587300010127725993,20,2025-09-17,"Palaikykite Kūrėją, PL, „Media Valdymas“",Atsiskaitymas už šildymą,0.39,EUR,D,2025091702680186,MK,,370,,,,
LT587300010127725993,20,2025-09-17,"KELIONĖS TRAUKINIAIS, AB",Pervedimas (išmoka),13.00,EUR,D,2025091702687355,MK,,371,,,,
LT587300010127725993,20,2025-09-18,DEGALINĖ „ŽIBURYS“ VILNIUS,Mokestis už paslaugas,9.90,EUR,K,2025091800925342,MK,,,,,,
LT587300010127725993,20,2025-09-18,SAULĖ TEKUTĖ,Mokestis už paslaugas,50.00,EUR,D,2025091802647759,MK,,,,,,
LT587300010127725993,20,2025-09-18,UAB „MĖLYNAS HORIZONTAS“,Mokestis už paslaugas (mėn.),-9.90,EUR,K,2025091803214769,MK,,,,,,
LT587300010127725993,20,2025-09-18,MB „STATYBOS AKIMIRKA“,Grynųjų pinigų išėmimas,-9.90,EUR,K,2025091803246860,MK,,,,,,
LT587300010127725993,20,2025-09-19,VŠĮ „KULTŪROS PAVELDAS“,Grynųjų pinigų išėmimas,-2.39,EUR,D,2025091900424485,K,,,,,,
LT587300010127725993,20,2025-09-19,MARTYNAS LAURINAVIČIUS,Bilieto (tele2) apmokėjimas,2.00,EUR,D,2025091901984599,K,,,,,,
LT587300010127725993,20,2025-09-21,GRETA STONKUVIENĖ,Pirkimas (vaistai),-18.35,EUR,D,2025092100871430,K,,,,,,
LT587300010127725993,20,2025-09-21,"PARDUOTUVĖ „BATŲ ALĖJA“, KAUNAS",Bilietas (išmoka),7.28,EUR,D,2025092101088415,K,,,,,,
LT587300010127725993,20,2025-09-21,UAB „ORAI IR TECHNOLOGIJOS“,Bilietas (išmoka),55.52,EUR,K,2025092102769680,MK,,,,,,
LT587300010127725993,20,2025-09-22,INVESTICINĖ BENDROVĖ „BALTIJOS TILTAI“,Papildomas mokestis už treniruotę,1000.00,EUR,K,2025092200657249,MK,,,,,,
LT587300010127725993,20,2025-09-22,VALSTYBINIS MOKESČIŲ AGENTAS,Pervedimas į kitą sąskaitą,1000.00,EUR,K,2025092201684497,MK,,,,,,
LT587300010127725993,20,2025-09-22,KOMERCINIS BANKAS „ŠILAINIAI“,Dovana (gavimas),111.00,EUR,K,2025092201750638,MK,,,,,,
LT587300010127725993,20,2025-09-23,MB „GREITOJI PAŠTO TARNYBA“,Pirkimas iš internetinės parduotuvės,-38.02,EUR,D,2025092300435843,K,,,,,,
LT587300010127725993,20,2025-09-23,UAB „SAUGUMO UŽTIKRINIMAS“,Pirkimas statybinių prekių (sandėlis),-55.52,EUR,D,2025092300650564,K,,,,,,
LT587300010127725993,20,2025-09-23,MOBILI MOKĖJIMO SISTEMA „PINIGĖLIS“,Sporto abonemento pratęsimas,-22.52,EUR,D,2025092300990016,MK,,372,,,,
LT587300010127725993,20,2025-09-23,JŪRATĖ VAITIEKŪNAITĖ,Mokestis už programinę įrangą,-291.55,EUR,D,2025092301241414,MK,,373,,,,
LT587300010127725993,20,2025-09-23,LAISVALAIKIO CENTRAS „SALOS“,Mokestis už programinę įrangą,447.10,EUR,D,2025092302098027,MK,,374,,,,
LT587300010127725993,20,2025-09-24,UAB „ŠVIEŽIOS GĖLĖS“,Parama mėgstamam kūrėjui (mėn.),1.00,EUR,D,2025092400501857,K,,,,,,
LT587300010127725993,20,2025-09-25,"VERSLO KONSULTANTAI, AB",Bilietas (išmoka),5.71,EUR,D,2025092501002576,K,,,,,,
LT587300010127725993,20,2025-09-26,MB „IT SPRENDIMAI 77“,Parama mėgstamam kūrėjui (papildoma įmoka),-13.28,EUR,D,2025092603320764,MK,,375,,,,
LT587300010127725993,20,2025-09-27,JŪSŲ KAIMYNAS POVILAS,Bilietas (išmoka),19.19,EUR,D,2025092700341093,K,,,,,,
LT587300010127725993,20,2025-09-27,E-PARDUOTUVĖ „ŽAIDIMŲ PASAULIS“,Atsiskaitymas degalinėje,16.00,EUR,K,2025092701260866,MK,,,,,,
LT587300010127725993,20,2025-09-28,UAB „ŽALIOJI ENERGIJA“,Už bilietus,1.00,EUR,D,2025092802208836,K,,,,,,
LT587300010127725993,20,2025-09-28,DAIVA KAVALIAUSKAITĖ,Bilietas (išmoka),1.00,EUR,D,2025092802209185,K,,,,,,
LT587300010127725993,20,2025-09-29,MB „GREITOJI PAŠTO TARNYBA“,Bilietas (išmoka),1.00,EUR,D,2025092901673392,K,,,,,,
LT587300010127725993,82,2025-09-30,,Bilietas (išmoka),1874.29,EUR,D,,K2,,,,,,
LT587300010127725993,82,2025-09-30,,Mėnesio sąskaitos tvarkymo mokestis,3127.22,EUR,K,,K2,,,,,,
LT587300010127725993,86,2025-09-30,,Likutis pabaigai,1410.95,EUR,K,,LS,,,,,,
